category,location,years,value,sea
다시마류,전라남도,1970,0,기타
다시마류,경상북도,1970,0,동해
다시마류,경상남도,1970,0,기타
다시마류,제주도,1970,0,기타
도박류,강원도,1970,0,동해
도박류,전라남도,1970,0,기타
도박류,경상북도,1970,0,동해
도박류,경상남도,1970,0,기타
도박류,제주도,1970,0,기타
모자반(말)류,충청남도,1970,41,기타
모자반(말)류,전라남도,1970,836,기타
모자반(말)류,경상북도,1970,0,동해
모자반(말)류,경상남도,1970,962,기타
모자반(말)류,제주도,1970,365,기타
미역류,부산광역시,1970,43,동해
미역류,경기도,1970,37,기타
미역류,강원도,1970,19119,동해
미역류,충청남도,1970,69,기타
미역류,전라북도,1970,6,기타
미역류,전라남도,1970,2156,기타
미역류,경상북도,1970,5544,동해
미역류,경상남도,1970,8063,기타
미역류,제주도,1970,3383,기타
우뭇가사리,부산광역시,1970,277,동해
우뭇가사리,경기도,1970,3,기타
우뭇가사리,강원도,1970,66,동해
우뭇가사리,충청남도,1970,22,기타
우뭇가사리,전라남도,1970,621,기타
우뭇가사리,경상북도,1970,610,동해
우뭇가사리,경상남도,1970,979,기타
우뭇가사리,제주도,1970,576,기타
기타가사리,충청남도,1970,0,기타
기타가사리,전라남도,1970,0,기타
기타가사리,경상북도,1970,0,동해
기타가사리,경상남도,1970,0,기타
기타가사리,제주도,1970,0,기타
톳,경기도,1970,0,기타
톳,충청남도,1970,0,기타
톳,전라남도,1970,3714,기타
톳,경상남도,1970,249,기타
톳,제주도,1970,4659,기타
파래류,충청남도,1970,0,기타
파래류,전라남도,1970,0,기타
파래류,경상남도,1970,0,기타
기타해조류,부산광역시,1970,148,동해
기타해조류,경기도,1970,7,기타
기타해조류,강원도,1970,31,동해
기타해조류,충청남도,1970,509,기타
기타해조류,전라남도,1970,2372,기타
기타해조류,경상북도,1970,1004,동해
기타해조류,경상남도,1970,3611,기타
기타해조류,제주도,1970,10310,기타
가오리류,부산광역시,1971,1699,동해
가오리류,경기도,1971,712,기타
가오리류,강원도,1971,297,동해
가오리류,충청남도,1971,313,기타
가오리류,전라북도,1971,44,기타
가오리류,전라남도,1971,2210,기타
가오리류,경상북도,1971,199,동해
가오리류,경상남도,1971,1691,기타
가오리류,제주도,1971,7,기타
가자미류,부산광역시,1971,4725,동해
가자미류,경기도,1971,4283,기타
가자미류,강원도,1971,370,동해
가자미류,충청남도,1971,481,기타
가자미류,전라북도,1971,594,기타
가자미류,전라남도,1971,1869,기타
가자미류,경상북도,1971,849,동해
가자미류,경상남도,1971,5462,기타
갈치,부산광역시,1971,15055,동해
갈치,경기도,1971,20373,기타
갈치,강원도,1971,0,동해
갈치,충청남도,1971,3076,기타
갈치,전라북도,1971,12750,기타
갈치,전라남도,1971,17634,기타
갈치,경상북도,1971,0,동해
갈치,경상남도,1971,13872,기타
갈치,제주도,1971,108,기타
강달이류,부산광역시,1971,11,동해
강달이류,경기도,1971,0,기타
강달이류,충청남도,1971,95,기타
강달이류,전라북도,1971,8,기타
강달이류,전라남도,1971,3646,기타
강달이류,경상남도,1971,0,기타
고등어,부산광역시,1971,47029,동해
